,MYG004_EW 100.0(Hz) unit:(gal)
0,0.4418442332371164
1,0.44438031703527514
2,0.4653030083701033
3,0.46720507121872146
4,0.45452465222791716
5,0.44628237988389685
6,0.447550421782978
7,0.4634009455214816
8,0.467839092168262
9,0.45389063127838014
10,0.45515867317745773
11,0.46403496647102216
12,0.46720507121872146
13,0.4754473435627453
14,0.4684731131178026
15,0.44438031703527514
16,0.438040107539873
17,0.4450143379848157
18,0.447550421782978
19,0.45135454748021786
20,0.45642671507653887
21,0.45769475697562
22,0.45515867317745773
23,0.45325661032883957
24,0.4583287779251606
25,0.4653030083701033
26,0.46974115501688374
27,0.47291125976458304
28,0.46023084077377874
29,0.4450143379848157
30,0.45389063127838014
31,0.46466898742056273
32,0.45769475697562
33,0.45642671507653887
34,0.46910713406734317
35,0.47798342736090405
36,0.4741793016636642
37,0.4608648617233193
38,0.4450143379848157
39,0.4323339189940114
40,0.4221895838013694
41,0.432967939943552
42,0.45896279887470115
43,0.47671538546182646
44,0.48178755305814747
45,0.46974115501688374
46,0.44945248463159615
47,0.44374629608573457
48,0.45198856842975843
49,0.45769475697562
50,0.462766924571941
51,0.47481332261320475
52,0.47227723881504247
53,0.4469164008334374
54,0.43613804469125483
55,0.44818444273251856
56,0.452622589379299
57,0.4399421703884947
58,0.4374060865903324
59,0.46466898742056273
60,0.49066384635170834
61,0.4868597206544685
62,0.47164321786550545
63,0.45325661032883957
64,0.4374060865903324
65,0.4418442332371164
66,0.45389063127838014
67,0.46466898742056273
68,0.4811535321086069
69,0.4881277625535496
70,0.4792514692599852
71,0.45769475697562
72,0.43169989804447084
73,0.4240916466499911
74,0.4367720656407954
75,0.45642671507653887
76,0.4703751759664243
77,0.4684731131178026
78,0.46593702931964387
79,0.46403496647102216
80,0.452622589379299
81,0.44628237988389685
82,0.44818444273251856
83,0.45135454748021786
84,0.4665710502691809
85,0.48178755305814747
86,0.47671538546182646
87,0.46023084077377874
88,0.4418442332371164
89,0.4215555628518288
90,0.41394731145734553
91,0.43043185614539325
92,0.4595968198242417
93,0.4843236368563062
94,0.49446797204895176
95,0.4900298254021678
96,0.4792514692599852
97,0.462766924571941
98,0.4488184636820556
99,0.44121021228757584
100,0.44438031703527514
101,0.46403496647102216
102,0.47798342736090405
103,0.4786174483104446
104,0.4754473435627453
105,0.46593702931964387
106,0.46023084077377874
107,0.4608648617233193
108,0.44945248463159615
109,0.42852979329677154
110,0.4183854581041295
111,0.42535968854907225
112,0.4405761913380353
113,0.45389063127838014
114,0.4634009455214816
115,0.46910713406734317
116,0.47291125976458304
117,0.4684731131178026
118,0.4507205265306773
119,0.4367720656407954
120,0.4557926941269983
121,0.4887617835030902
122,0.5001741605948133
123,0.48749374160400905
124,0.4614988826728599
125,0.43613804469125483
126,0.43043185614539325
127,0.44438031703527514
128,0.4614988826728599
129,0.4634009455214816
130,0.46403496647102216
131,0.4741793016636642
132,0.4710091969159649
133,0.462766924571941
134,0.46023084077377874
135,0.45515867317745773
136,0.452622589379299
137,0.4500865055811367
138,0.4469164008334374
139,0.4507205265306773
140,0.46213290362240045
141,0.47227723881504247
142,0.467839092168262
143,0.45706073602607944
144,0.4500865055811367
145,0.4342359818426331
146,0.42282360475090996
147,0.43360196089309255
148,0.45389063127838014
149,0.47164321786550545
150,0.48178755305814747
151,0.48178755305814747
152,0.4741793016636642
153,0.467839092168262
154,0.4653030083701033
155,0.46403496647102216
156,0.4710091969159649
157,0.47671538546182646
158,0.4703751759664243
159,0.45135454748021786
160,0.42662773044814983
161,0.4183854581041295
162,0.4310658770949338
163,0.4456483589343563
164,0.45769475697562
165,0.46910713406734317
166,0.47164321786550545
167,0.46403496647102216
168,0.46023084077377874
169,0.46720507121872146
170,0.47798342736090405
171,0.4868597206544685
172,0.48495765780584676
173,0.47798342736090405
174,0.4684731131178026
175,0.4469164008334374
176,0.4202875209527477
177,0.40824112291148396
178,0.4202875209527477
179,0.44374629608573457
180,0.46403496647102216
181,0.4754473435627453
182,0.47227723881504247
183,0.46974115501688374
184,0.4703751759664243
185,0.4608648617233193
186,0.4557926941269983
187,0.4595968198242417
188,0.46466898742056273
189,0.4595968198242417
190,0.45452465222791716
191,0.46910713406734317
192,0.47988549020952576
193,0.467839092168262
194,0.4507205265306773
195,0.43867412848941356
196,0.4323339189940114
197,0.4272617513976904
198,0.43360196089309255
199,0.4614988826728599
200,0.4881277625535496
201,0.4938339510994112
202,0.48242157400768804
203,0.46910713406734317
204,0.4595968198242417
205,0.45515867317745773
206,0.45642671507653887
207,0.45452465222791716
208,0.44628237988389685
209,0.43360196089309255
210,0.4272617513976904
211,0.43867412848941356
212,0.45325661032883957
213,0.46466898742056273
214,0.4760813645122859
215,0.48178755305814747
216,0.48178755305814747
