,NIG019_EW 100.0(Hz) unit:(gal)
0,-5.636358253134533
1,-5.638742438925549
2,-5.641126624716565
3,-5.636119834555432
4,-5.638027183188244
5,-5.650901786459729
6,-5.653047553671643
7,-5.642318717612072
8,-5.637550346030041
9,-5.638027183188244
10,-5.636358253134533
11,-5.620861045492932
12,-5.623483649863049
13,-5.625867835654065
14,-5.633020393027111
15,-5.630159370077893
16,-5.63278197444801
17,-5.633258811606213
18,-5.626106254233166
19,-5.639934531821057
20,-5.646371833456799
21,-5.632543555868908
22,-5.632543555868908
23,-5.640888206137463
24,-5.633735648764416
25,-5.640888206137463
26,-5.6389808575046505
27,-5.640649787558361
28,-5.643033973349377
29,-5.658292762411877
30,-5.649471274985119
31,-5.637073508871838
32,-5.635404578818127
33,-5.632305137289807
34,-5.633735648764416
35,-5.636119834555432
36,-5.641841880453869
37,-5.641126624716565
38,-5.635642997397229
39,-5.636596671713635
40,-5.634927741659924
41,-5.634689323080822
42,-5.638265601767346
43,-5.630636207236096
44,-5.627059928549572
45,-5.632305137289807
46,-5.639219276083752
47,-5.639457694662854
48,-5.644226066244885
49,-5.64351081050758
50,-5.63731192745094
51,-5.620145789755627
52,-5.626344672812268
53,-5.632305137289807
54,-5.633020393027111
55,-5.64041136897926
56,-5.638742438925549
57,-5.638027183188244
58,-5.641126624716565
59,-5.6466102520359005
60,-5.64351081050758
61,-5.642080299032971
62,-5.6351661602390255
63,-5.631113044394299
64,-5.633258811606213
65,-5.635404578818127
66,-5.6313514629734005
67,-5.633020393027111
68,-5.638742438925549
69,-5.634450904501721
70,-5.623245231283947
71,-5.62825202144508
72,-5.641841880453869
73,-5.647325507773205
74,-5.64041136897926
75,-5.638265601767346
76,-5.636596671713635
77,-5.646848670615002
78,-5.651855460776135
79,-5.654001227988049
80,-5.644702903403088
81,-5.628967277182385
82,-5.625629417074963
83,-5.632066718710705
84,-5.640172950400158
85,-5.642557136191174
86,-5.631828300131604
87,-5.631828300131604
88,-5.627775184286877
89,-5.630159370077893
90,-5.636835090292736
91,-5.630397788656994
92,-5.635404578818127
93,-5.633974067343518
94,-5.623006812704846
95,-5.6275367657077755
96,-5.634212485922619
97,-5.634450904501721
98,-5.638027183188244
99,-5.634212485922619
100,-5.634927741659924
101,-5.631589881552502
102,-5.641841880453869
103,-5.6427955547702755
104,-5.650186530722424
105,-5.6504249493015255
106,-5.635642997397229
107,-5.63588141597633
108,-5.643987647665783
109,-5.656146995199963
110,-5.6542396465671505
111,-5.639457694662854
112,-5.634689323080822
113,-5.642318717612072
114,-5.633735648764416
115,-5.624675742758557
116,-5.639934531821057
117,-5.64351081050758
118,-5.642318717612072
119,-5.62968253291969
120,-5.61442374385719
121,-5.626106254233166
122,-5.629444114340588
123,-5.6351661602390255
124,-5.629205695761486
125,-5.634927741659924
126,-5.641841880453869
127,-5.630636207236096
128,-5.636596671713635
129,-5.640649787558361
130,-5.633258811606213
131,-5.636835090292736
132,-5.633974067343518
133,-5.640888206137463
134,-5.649471274985119
135,-5.639219276083752
136,-5.639457694662854
137,-5.643033973349377
138,-5.640888206137463
139,-5.638742438925549
140,-5.638504020346447
141,-5.636835090292736
142,-5.640172950400158
143,-5.64351081050758
144,-5.643272391928479
145,-5.634927741659924
146,-5.640172950400158
147,-5.638504020346447
148,-5.624198905600354
149,-5.644226066244885
150,-5.635404578818127
151,-5.628490440024182
152,-5.62968253291969
153,-5.62825202144508
154,-5.628967277182385
155,-5.63731192745094
156,-5.626583091391369
157,-5.64041136897926
158,-5.638742438925549
159,-5.647563926352307
160,-5.645894996298596
161,-5.646133414877697
162,-5.63588141597633
163,-5.639457694662854
164,-5.627775184286877
165,-5.632305137289807
166,-5.640172950400158
167,-5.64351081050758
168,-5.630636207236096
169,-5.6237220684421505
170,-5.627775184286877
171,-5.633258811606213
172,-5.637073508871838
173,-5.638265601767346
174,-5.634689323080822
175,-5.639696113241955
176,-5.639696113241955
177,-5.64041136897926
178,-5.647325507773205
179,-5.641603461874768
180,-5.644226066244885
181,-5.630874625815197
182,-5.634212485922619
183,-5.633258811606213
184,-5.635642997397229
185,-5.637073508871838
186,-5.636596671713635
187,-5.632305137289807
188,-5.6351661602390255
189,-5.627775184286877
190,-5.638027183188244
191,-5.632305137289807
192,-5.637788764609143
193,-5.634689323080822
194,-5.632305137289807
195,-5.639934531821057
196,-5.638265601767346
197,-5.636119834555432
198,-5.639219276083752
199,-5.6351661602390255
200,-5.636596671713635
201,-5.64494132198219
202,-5.649709693564221
203,-5.649948112143322
204,-5.64041136897926
205,-5.642318717612072
