,NIG019_NS 100.0(Hz) unit:(gal)
0,3.160810933065255
1,3.15699623579963
2,3.165579304647286
3,3.156519398641427
4,3.1491284226892784
5,3.1505589341638878
6,3.137922749471505
7,3.141260609578927
8,3.1484131669519737
9,3.154850468587716
10,3.146505818319161
11,3.1555657243250206
12,3.1546120500086143
13,3.157949910116036
14,3.1584267472742393
15,3.154850468587716
16,3.1562809800623253
17,3.153658375692208
18,3.153181538534005
19,3.1598572587488487
20,3.159618840169747
21,3.1555657243250206
22,3.1500820970056846
23,3.1560425614832237
24,3.1660561418054893
25,3.15699623579963
26,3.1505589341638878
27,3.1598572587488487
28,3.1598572587488487
29,3.1467442368982628
30,3.1517510270593956
31,3.167248234700997
32,3.157949910116036
33,3.1453137254236534
34,3.1517510270593956
35,3.151035771322091
36,3.140545353841622
37,3.1491284226892784
38,3.1512741899011925
39,3.1538967942713096
40,3.165102467489083
41,3.1517510270593956
42,3.1491284226892784
43,3.1546120500086143
44,3.1381611680506065
45,3.154135212850411
46,3.1572346543787315
47,3.150320515584786
48,3.155327305745919
49,3.145552144002755
50,3.1436447953699425
51,3.158665165853341
52,3.1622414445398643
53,3.160810933065255
54,3.1758313035486534
55,3.1708245133875206
56,3.162479863118966
57,3.151035771322091
58,3.14936684126838
59,3.1529431199549034
60,3.155327305745919
61,3.1682019090174034
62,3.1660561418054893
63,3.1677250718592003
64,3.1567578172205284
65,3.1486515855310753
66,3.153658375692208
67,3.1529431199549034
68,3.1505589341638878
69,3.145552144002755
70,3.1419758653162315
71,3.142691121053536
72,3.148890004110177
73,3.145075306844552
74,3.1333927964685753
75,3.134584889364083
76,3.152704701375802
77,3.148890004110177
78,3.1462673997400596
79,3.1474594926355675
80,3.154135212850411
81,3.159142003011544
82,3.162956700277169
83,3.1643872117517784
84,3.1758313035486534
85,3.1620030259607628
86,3.1474594926355675
87,3.1512741899011925
88,3.164148793172677
89,3.1577114915369346
90,3.1555657243250206
91,3.153181538534005
92,3.1467442368982628
93,3.1538967942713096
94,3.151035771322091
95,3.1398300981043175
96,3.1479363297937706
97,3.1593804215906456
98,3.1550888871668175
99,3.1474594926355675
100,3.1424527024744346
101,3.140068516683419
102,3.146505818319161
103,3.1589035844324425
104,3.1631951188562706
105,3.152704701375802
106,3.159142003011544
107,3.1546120500086143
108,3.1546120500086143
109,3.1538967942713096
110,3.154850468587716
111,3.1534199571131065
112,3.152704701375802
113,3.151989445638497
114,3.152704701375802
115,3.1577114915369346
116,3.1600956773279503
117,3.159142003011544
118,3.155804142904122
119,3.155327305745919
120,3.1639103745935753
121,3.1639103745935753
122,3.1555657243250206
123,3.146028981160958
124,3.1507973527429893
125,3.1500820970056846
126,3.1529431199549034
127,3.154850468587716
128,3.1546120500086143
129,3.1479363297937706
130,3.14936684126838
131,3.142214283895333
132,3.1512741899011925
133,3.1567578172205284
134,3.157949910116036
135,3.1581883286951378
136,3.153658375692208
137,3.161764607381661
138,3.159142003011544
139,3.1524662827967003
140,3.1550888871668175
141,3.1600956773279503
142,3.1543736314295128
143,3.155327305745919
144,3.159142003011544
145,3.1486515855310753
146,3.1403069352625206
147,3.1550888871668175
148,3.160810933065255
149,3.1538967942713096
150,3.1486515855310753
151,3.1462673997400596
152,3.1484131669519737
153,3.154135212850411
154,3.156519398641427
155,3.1453137254236534
156,3.1469826554773643
157,3.1524662827967003
158,3.1524662827967003
159,3.158665165853341
160,3.160810933065255
161,3.1567578172205284
162,3.1648640489099815
163,3.1622414445398643
164,3.1577114915369346
165,3.157473072957833
166,3.1562809800623253
167,3.150320515584786
168,3.151989445638497
169,3.1598572587488487
170,3.160334095907052
171,3.151035771322091
172,3.153658375692208
173,3.151035771322091
174,3.1512741899011925
175,3.1479363297937706
176,3.160334095907052
177,3.1562809800623253
178,3.147221074056466
179,3.142214283895333
180,3.138876423787911
181,3.146505818319161
182,3.147697911214669
183,3.1589035844324425
184,3.165102467489083
185,3.154850468587716
186,3.157473072957833
187,3.1546120500086143
188,3.154850468587716
189,3.173208699178536
190,3.1677250718592003
191,3.165102467489083
192,3.1600956773279503
193,3.1543736314295128
194,3.1560425614832237
195,3.150320515584786
196,3.147221074056466
197,3.151989445638497
198,3.1524662827967003
199,3.1491284226892784
200,3.1491284226892784
201,3.1529431199549034
202,3.1584267472742393
203,3.146028981160958
204,3.151035771322091
205,3.1538967942713096
206,3.14936684126838
207,3.170586094808419
208,3.161764607381661
209,3.151989445638497
210,3.1512741899011925
211,3.140545353841622
212,3.144360051107247
213,3.153658375692208
214,3.1522278642175987
215,3.1572346543787315
216,3.1424527024744346
217,3.146505818319161
218,3.1445984696863487
219,3.1469826554773643
220,3.140068516683419
221,3.1484131669519737
222,3.162479863118966
223,3.160810933065255
224,3.168440327596505
225,3.14936684126838
226,3.150320515584786
227,3.1524662827967003
228,3.151512608480294
229,3.1636719560144737
230,3.1686787461756065
231,3.1729702805994346
232,3.1631951188562706
233,3.1517510270593956
234,3.1429295396326378
235,3.146505818319161
236,3.155327305745919
237,3.1572346543787315
238,3.156519398641427
239,3.163433537435372
240,3.159142003011544
241,3.1593804215906456
242,3.152704701375802
243,3.1496052598474815
244,3.1517510270593956
245,3.151512608480294
246,3.1577114915369346
247,3.1555657243250206
248,3.1560425614832237
249,3.1584267472742393
250,3.154135212850411
251,3.148174748372872
252,3.142214283895333
253,3.1410221909998253
254,3.1453137254236534
255,3.1660561418054893
256,3.158665165853341
257,3.1445984696863487
258,3.1457905625818565
259,3.1581883286951378
260,3.151989445638497
261,3.1431679582117393
262,3.1436447953699425
263,3.146505818319161
264,3.14936684126838
265,3.1546120500086143
266,3.145552144002755
267,3.1517510270593956
268,3.15699623579963
269,3.15699623579963
270,3.154135212850411
271,3.1627182816980675
272,3.157473072957833
273,3.159618840169747
274,3.160810933065255
275,3.162956700277169
276,3.162956700277169
