,NIGH01_NS1 200.0(Hz) unit:(gal)
0,0.037692817052205285
1,0.03745439847310372
2,0.03983858426411935
3,0.04317644437154122
4,0.044368537267049035
5,0.042461188634236535
6,0.03983858426411935
7,0.037692817052205285
8,0.03626230557759591
9,0.0369775613149006
10,0.03912332852681466
11,0.039600165685017785
12,0.037692817052205285
13,0.03530863126118966
14,0.03530863126118966
15,0.0369775613149006
16,0.039600165685017785
17,0.041507514317830285
18,0.041507514317830285
19,0.03983858426411935
20,0.03816965421040841
21,0.03793123563130685
22,0.03816965421040841
23,0.03840807278950997
24,0.03816965421040841
25,0.03745439847310372
26,0.0369775613149006
27,0.03745439847310372
28,0.038646491368611535
29,0.03912332852681466
30,0.03793123563130685
31,0.03650072415669747
32,0.0369775613149006
33,0.03936174710591622
34,0.04174593289693185
35,0.042461188634236535
36,0.04198435147603341
37,0.04174593289693185
38,0.042461188634236535
39,0.04365328152974435
40,0.04413011868794747
41,0.04317644437154122
42,0.03983858426411935
43,0.035785468419392785
44,0.034831794102986535
45,0.03745439847310372
46,0.03983858426411935
47,0.03983858426411935
48,0.03840807278950997
49,0.03721597989400216
50,0.0369775613149006
51,0.03745439847310372
52,0.037692817052205285
53,0.037692817052205285
54,0.03745439847310372
55,0.03745439847310372
56,0.03793123563130685
57,0.038646491368611535
58,0.04007700284322091
59,0.04126909573872872
60,0.04222277005513497
61,0.04317644437154122
62,0.04389170010884591
63,0.043414862950642785
64,0.04103067715962716
65,0.03745439847310372
66,0.034831794102986535
67,0.03411653836568185
68,0.0350702126820881
69,0.03650072415669747
70,0.03816965421040841
71,0.04007700284322091
72,0.0407922585805256
73,0.04031542142232247
74,0.03936174710591622
75,0.03793123563130685
76,0.0369775613149006
77,0.037692817052205285
78,0.0388849099477131
79,0.03816965421040841
80,0.03626230557759591
81,0.03626230557759591
82,0.03793123563130685
83,0.0388849099477131
84,0.03816965421040841
85,0.03745439847310372
86,0.037692817052205285
87,0.038646491368611535
88,0.03983858426411935
89,0.04031542142232247
90,0.039600165685017785
91,0.03721597989400216
92,0.03459337552388497
93,0.03363970120747872
94,0.0350702126820881
95,0.0369775613149006
96,0.03840807278950997
97,0.0388849099477131
98,0.0388849099477131
99,0.03840807278950997
100,0.037692817052205285
101,0.0369775613149006
102,0.0369775613149006
103,0.03816965421040841
104,0.03936174710591622
105,0.03983858426411935
106,0.03983858426411935
107,0.03983858426411935
108,0.04031542142232247
109,0.04174593289693185
110,0.04317644437154122
111,0.043414862950642785
112,0.0426996072133381
113,0.04174593289693185
114,0.041507514317830285
115,0.04174593289693185
116,0.04103067715962716
117,0.03840807278950997
118,0.03602388699849435
119,0.03554704984029122
120,0.03602388699849435
121,0.03554704984029122
122,0.03459337552388497
123,0.0350702126820881
124,0.036739142735799035
125,0.037692817052205285
126,0.03626230557759591
127,0.03411653836568185
128,0.03340128262837716
129,0.0350702126820881
130,0.0369775613149006
131,0.0369775613149006
132,0.03530863126118966
133,0.03435495694478341
134,0.03459337552388497
135,0.034831794102986535
136,0.0350702126820881
137,0.03650072415669747
138,0.039600165685017785
139,0.041507514317830285
140,0.04007700284322091
141,0.03650072415669747
142,0.034831794102986535
143,0.036739142735799035
144,0.039600165685017785
145,0.04031542142232247
146,0.03936174710591622
147,0.03840807278950997
148,0.0369775613149006
149,0.035785468419392785
150,0.035785468419392785
151,0.03745439847310372
152,0.0388849099477131
153,0.039600165685017785
154,0.039600165685017785
155,0.037692817052205285
156,0.03530863126118966
157,0.034831794102986535
158,0.0369775613149006
159,0.03912332852681466
160,0.039600165685017785
161,0.03936174710591622
162,0.0388849099477131
163,0.03840807278950997
164,0.03793123563130685
165,0.03793123563130685
166,0.0388849099477131
167,0.03983858426411935
168,0.04126909573872872
169,0.04174593289693185
170,0.0407922585805256
171,0.03936174710591622
172,0.03840807278950997
173,0.03816965421040841
174,0.038646491368611535
175,0.03936174710591622
176,0.03816965421040841
177,0.03530863126118966
178,0.03411653836568185
179,0.03530863126118966
180,0.036739142735799035
181,0.03721597989400216
182,0.03745439847310372
183,0.03816965421040841
184,0.0388849099477131
185,0.03936174710591622
186,0.03936174710591622
187,0.038646491368611535
188,0.03793123563130685
189,0.03840807278950997
190,0.040553840001424035
191,0.0426996072133381
192,0.04222277005513497
193,0.03936174710591622
194,0.03650072415669747
195,0.034831794102986535
196,0.0350702126820881
197,0.03650072415669747
198,0.0369775613149006
199,0.03745439847310372
200,0.0388849099477131
201,0.041507514317830285
202,0.04317644437154122
203,0.04293802579243966
204,0.04198435147603341
205,0.04126909573872872
206,0.04031542142232247
207,0.03840807278950997
208,0.03626230557759591
209,0.0350702126820881
210,0.034831794102986535
211,0.035785468419392785
212,0.038646491368611535
213,0.04198435147603341
214,0.04293802579243966
215,0.04031542142232247
216,0.03602388699849435
217,0.03411653836568185
218,0.034831794102986535
219,0.036739142735799035
220,0.038646491368611535
221,0.03936174710591622
222,0.03816965421040841
223,0.03721597989400216
224,0.0369775613149006
225,0.037692817052205285
226,0.03912332852681466
227,0.041507514317830285
228,0.043414862950642785
229,0.04317644437154122
230,0.0407922585805256
231,0.03816965421040841
232,0.03626230557759591
233,0.03554704984029122
