,NIGH01_UD2 200.0(Hz) unit:(gal)
0,0.0073299050331114834
1,0.0078067421913146084
2,0.009952509403228671
3,0.011383020877838046
4,0.010190927982330233
5,0.0073299050331114834
6,0.004230463504791171
7,0.001846277713775546
8,-6.107091903695405e-05
9,-0.001491582393646329
10,-0.000537908077240079
11,0.0025615334510802334
12,0.0063762307167052334
13,0.008045160770416171
14,0.0073299050331114834
15,0.0063762307167052334
16,0.0063762307167052334
17,0.0068530678749083584
18,0.006137812137603671
19,0.004707300662994296
20,0.003753626346588046
21,0.003753626346588046
22,0.004230463504791171
23,0.005184137821197421
24,0.0063762307167052334
25,0.008283579349517733
26,0.009714090824127108
27,0.009237253665923983
28,0.006614649295806796
29,0.0039920449256896084
30,0.0030383706092833584
31,0.003753626346588046
32,0.005184137821197421
33,0.0063762307167052334
34,0.0073299050331114834
35,0.008045160770416171
36,0.008998835086822421
37,0.009475672245025546
38,0.009714090824127108
39,0.009714090824127108
40,0.009714090824127108
41,0.009714090824127108
42,0.009475672245025546
43,0.008521997928619296
44,0.0073299050331114834
45,0.0063762307167052334
46,0.005660974979400546
47,0.0049457192420958584
48,0.004230463504791171
49,0.0044688820838927334
50,0.006137812137603671
51,0.008045160770416171
52,0.009475672245025546
53,0.010667765140533358
54,0.011621439456939608
55,0.012813532352447421
56,0.013290369510650546
57,0.010667765140533358
58,0.0063762307167052334
59,0.002799952030181796
60,0.001846277713775546
61,0.002799952030181796
62,0.0044688820838927334
63,0.0058993935585021084
64,0.006614649295806796
65,0.006614649295806796
66,0.006137812137603671
67,0.006137812137603671
68,0.0063762307167052334
69,0.0073299050331114834
70,0.009475672245025546
71,0.011383020877838046
72,0.011383020877838046
73,0.010190927982330233
74,0.0078067421913146084
75,0.004707300662994296
76,0.0020846962928771084
77,0.000892603397369296
78,0.001846277713775546
79,0.0030383706092833584
80,0.0030383706092833584
81,0.0025615334510802334
82,0.003276789188384921
83,0.005660974979400546
84,0.008045160770416171
85,0.009475672245025546
86,0.009952509403228671
87,0.010667765140533358
88,0.011144602298736483
89,0.009714090824127108
90,0.0078067421913146084
91,0.008045160770416171
92,0.009714090824127108
93,0.009714090824127108
94,0.0063762307167052334
95,0.0025615334510802334
96,0.001846277713775546
97,0.003276789188384921
98,0.0049457192420958584
99,0.0054225564002989834
100,0.005660974979400546
101,0.0058993935585021084
102,0.0058993935585021084
103,0.0044688820838927334
104,0.002799952030181796
105,0.002799952030181796
106,0.004707300662994296
107,0.006614649295806796
108,0.0073299050331114834
109,0.006614649295806796
110,0.0049457192420958584
111,0.0044688820838927334
112,0.0068530678749083584
113,0.011621439456939608
114,0.01662822961807242
115,0.01853557825088492
116,0.01638981103897086
117,0.011621439456939608
118,0.0078067421913146084
119,0.0063762307167052334
120,0.007091486454009921
121,0.008760416507720858
122,0.010906183719634921
123,0.012098276615142733
124,0.010906183719634921
125,0.0078067421913146084
126,0.0054225564002989834
